	Virus_Name	('C', 'A')	('T', 'A')	('C', 'T')	('G', 'C')	('A', 'C')	('G', 'T')	('T', 'G')	('T', 'C')	('G', 'A')	('A', 'G')	('A', 'T')	('C', 'G')
0	coronavirus	226	128	4762	154	174	2184	129	941	737	850	235	49
0	west_nile_virus	385	374	10279	90	258	477	227	6214	3483	3871	339	84
0	mumps	62	29	202	2	29	75	26	199	171	192	24	8
0	zika	86	111	1324	43	81	81	49	1365	660	892	101	23
0	west_african_ebola	51	64	467	18	106	36	89	650	416	656	67	12
0	dengue	615	708	8717	363	603	450	323	7847	4776	5184	761	264
0	avian_influenza	406	230	2237	65	341	304	222	1790	2707	2378	276	42
0	measles	252	84	1605	49	176	152	86	1639	1365	1375	101	58
0	tuberculosis	8133	1333	33150	8223	5451	8248	5251	11288	33245	11122	1480	8495
